Ukazatel,IndicatorType,Druh PHM,CENPHM1,Měsíce,CasM,Území,Uz0,Hodnota
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,leden 2001,2001-01,Česko,CZ,26.44
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,únor 2001,2001-02,Česko,CZ,25.86
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,březen 2001,2001-03,Česko,CZ,25.59
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,duben 2001,2001-04,Česko,CZ,26.48
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,květen 2001,2001-05,Česko,CZ,28.51
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,červen 2001,2001-06,Česko,CZ,29.73
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,červenec 2001,2001-07,Česko,CZ,29.1
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,srpen 2001,2001-08,Česko,CZ,28.6
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,září 2001,2001-09,Česko,CZ,28.57
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,říjen 2001,2001-10,Česko,CZ,27.41
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,listopad 2001,2001-11,Česko,CZ,26.22
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,prosinec 2001,2001-12,Česko,CZ,24.44
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,leden 2002,2002-01,Česko,CZ,23.68
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,únor 2002,2002-02,Česko,CZ,23.24
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,březen 2002,2002-03,Česko,CZ,23.41
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,duben 2002,2002-04,Česko,CZ,25.43
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,květen 2002,2002-05,Česko,CZ,25.18
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,červen 2002,2002-06,Česko,CZ,24.71
Průměrná cena pohonných hmot,6621,Benzin automobilový bezolovnatý Natural 95 [Kč/l],722201,červenec 2002,2002-07,Česko,CZ,24.36
